timestamp,none:startupDurationMs,splunk-otel:startupDurationMs,profiler:startupDurationMs,none:minHeapUsed,splunk-otel:minHeapUsed,profiler:minHeapUsed,none:maxHeapUsed,splunk-otel:maxHeapUsed,profiler:maxHeapUsed,none:totalAllocatedMB,splunk-otel:totalAllocatedMB,profiler:totalAllocatedMB,none:totalGCTime,splunk-otel:totalGCTime,profiler:totalGCTime,none:maxThreadContextSwitchRate,splunk-otel:maxThreadContextSwitchRate,profiler:maxThreadContextSwitchRate,none:iterationAvg,splunk-otel:iterationAvg,profiler:iterationAvg,none:iterationP95,splunk-otel:iterationP95,profiler:iterationP95,none:requestAvg,splunk-otel:requestAvg,profiler:requestAvg,none:requestP95,splunk-otel:requestP95,profiler:requestP95,none:netReadAvg,splunk-otel:netReadAvg,profiler:netReadAvg,none:netWriteAvg,splunk-otel:netWriteAvg,profiler:netWriteAvg,none:peakThreadCount,splunk-otel:peakThreadCount,profiler:peakThreadCount,none:averageCpuUser,splunk-otel:averageCpuUser,profiler:averageCpuUser,none:maxCpuUser,splunk-otel:maxCpuUser,profiler:maxCpuUser,none:averageMachineCpuTotal,splunk-otel:averageMachineCpuTotal,profiler:averageMachineCpuTotal,none:runDurationMs,splunk-otel:runDurationMs,profiler:runDurationMs,none:gcPauseMs,splunk-otel:gcPauseMs,profiler:gcPauseMs
1639505805,21562,22648,22752,70192128,86507520,111673344,326107136,341311488,516543488,89284.25747680664,210707.23482513428,798603.1516876221,2466311077,3385826744,4562422107,34088.277,32287.627,31751.97,653.3288044413005,713.4449051420012,778.6793497357652,877.6054557,959.4384024999995,1078.6623372499996,29.36216705048359,44.40888153044428,52.40770615653459,93.90481069999998,119.04610314999991,137.53528599999999,9051545,4272676,4034331,12294425,22802172,24436239,100,105,101,0.35598725,0.39895576,0.41036218,0.6265664,0.6294416,0.6381909,0.73388773,0.788865,0.8146963,188683,205586,224612,2525,3473,4978
1639506735,14759,22092,22740,70002176,87556096,141557760,325724672,341370608,542840832,94273.45851135254,206803.94816589355,792409.1334609985,2374344997,3542744994,4070610179,34512.086,33408.71,31125.1,649.6001303558801,720.524556133999,781.9723781684684,871.33219435,971.8554542499996,1095.0655365999999,28.42654167668018,45.437114369045716,52.78434191460806,91.54200744999984,121.37391389999996,138.4277883999999,9047929,4169206,4047468,12282542,22246503,24794870,94,100,107,0.35730726,0.40712327,0.4165343,0.6368159,0.62,0.68126523,0.7413306,0.79907244,0.8252506,187728,207641,225616,2441,3624,4423
1639507665,14751,21987,22809,60590080,80077312,111895552,325582848,394315168,702839288,91489.1178894043,210269.96252441406,813712.1547088623,2352160211,3796359610,3272366626,34504.945,32514.422,31263.2,651.6206177004744,718.3676446118798,770.8032344922369,882.3543774499999,976.0292938499998,1056.37797065,27.899382184830074,44.934226677661,51.89068550938599,91.40093824999995,121.46349989999993,133.87482349999996,8965701,4182129,4064913,12165881,22365927,24570652,93,104,104,0.3527072,0.3948206,0.40539777,0.6426799,0.6309227,0.64460784,0.72809726,0.78573,0.8116474,188737,207629,221750,2416,3879,3409
1639508592,14706,22034,22698,74244096,82725888,112926208,458002448,338351104,522007040,90203.46452331543,176632.56581115723,809547.6258163452,3286209376,3561297711,5015764354,34061.445,32720.62,30837.543,648.0365141904698,700.0985835909415,773.1534858442325,867.4454200499998,934.63129325,1077.6410304499996,27.87699043233325,41.97608025281761,51.812264415155965,91.04457449999994,115.69536734999996,135.99202379999988,9039278,4278053,4048702,12264907,22856891,24534673,104,103,109,0.3480212,0.38899168,0.41928807,0.6489899,0.62849873,0.63414633,0.73368853,0.791454,0.8319918,187724,201766,222590,3352,3668,5444
1639509521,14781,22732,22782,73921536,85737472,115947008,577241088,339174400,522009344,87858.91511535645,203860.81816864014,802116.2255706787,3221849038,3510573446,4030077300,34113.297,32376.41,30718.422,653.1667501169416,719.1020637552945,781.1943201984732,878.0776560499999,969.9607959499995,1070.93511155,29.478841794902678,45.50273660967281,52.52554564730745,93.82047939999993,121.21902514999995,138.48317259999993,8983245,4184425,4070342,12207956,22318413,24805002,101,105,112,0.35826468,0.40159294,0.42264438,0.6363636,0.62259614,0.66746414,0.7421769,0.7922325,0.83192366,188701,207646,224743,3286,3592,4927
1639510449,14786,22682,22727,70778880,85729792,154140672,470217432,380723392,476558848,86944.24663543701,200911.42399597168,812016.3983840942,3219166252,3857690226,5106803015,33987.312,32143.299,31121.918,655.267650573057,725.1286951895303,770.0075472530624,889.6782236999999,992.5498732499993,1085.09108985,29.452898876503408,46.05946735313105,51.29768399694091,95.19755509999995,123.55401054999999,135.85799309999996,8926620,4162233,4071603,12130298,22234275,24497123,94,103,103,0.36407855,0.41001874,0.41422135,0.6335878,0.6277916,0.6779661,0.7453473,0.79702765,0.82709485,189723,208887,221621,3282,3951,5438
1639511363,14741,22073,22798,72871424,89310720,115062272,447253952,338355936,490353664,70288.67288208008,216820.27922821045,764942.870880127,3170885210,3585657307,4526427823,34266.36,32700.549,31454.174,643.6301721264713,702.2019976316476,766.1431153604699,848.1965768499998,951.4581250499998,1064.5122867,26.667108434385533,42.53088858142554,50.80987280671155,88.93396689999997,116.4864114,133.99797824999996,9121230,4310037,4081971,12365306,22973285,24617154,90,97,106,0.34671614,0.3923646,0.41616687,0.6147959,0.63,0.662531,0.73189086,0.7928944,0.8325972,185709,202605,220671,3234,3679,4921
1639512288,14747,22043,22842,73838592,89862656,142606336,503532544,352001536,510632448,94326.05166625977,216051.00590515137,806955.5987930298,3089083543,3255310284,4695667960,34227.094,32159.553,31019.057,649.5459386516467,714.4764050144702,782.6462866470596,868.8254001999999,966.8378036999998,1092.5716808999996,28.004152850208797,44.5498077521306,52.898236908346185,91.90902944999996,119.24505564999987,138.1262888,9023277,4228945,4013184,12245284,22569172,24299009,92,103,108,0.3535384,0.39664233,0.41708744,0.61633664,0.63390666,0.6791045,0.739408,0.789396,0.8210825,187749,205863,225653,3172,3336,5036
1639513218,14815,22633,22767,73227264,88277504,109565440,585977856,356083712,521437696,90228.40293884277,215613.54731750488,788630.6088104248,3273538271,3174171367,5237826942,33839.227,31900.15,31273.607,649.6146106716441,711.4380930361164,794.4352543137625,874.7573695499992,959.29174755,1106.71220515,28.620402583051924,44.06975091112357,53.36744365694808,92.29253984999993,119.22966514999995,142.04701934999986,8997143,4205976,3939063,12215854,22391027,23997928,93,101,103,0.3544323,0.40288353,0.427,0.615,0.6476427,0.6641414,0.7386599,0.7933595,0.8561141,187805,205628,228596,3344,3256,5843
1639514144,14750,21915,22661,71617536,80124936,106327664,460812544,396043272,529395200,97749.5764465332,209084.27795410156,799560.5318374634,3319529037,3844173545,4837407000,33977.832,32572.957,30537.986,645.3742108300006,715.2537124490566,791.3701014351748,855.8646438999997,967.6659850499996,1094.5201978,26.681341602843407,44.93844955352261,53.59461024190887,88.8815648499999,121.0094793499999,140.93917039999994,9056792,4188017,3968351,12277283,22347381,24163745,99,107,106,0.35340613,0.39057818,0.4383157,0.63,0.6253102,0.657767,0.7395291,0.78018934,0.8445036,186724,206635,227670,3381,3918,5986
